week_start,run_count,run_distance_km,run_time_min,run_pace_min_per_km,run_elevation_gain_m,avg_heartrate
2025-11-24,1,6.02,35.2,5.85,34.0,
2025-12-01,3,18.18,96.7,5.32,107.2,
2025-12-08,2,16.7,91.8,5.5,100.3,
2025-12-15,2,15.48,87.0,5.62,87.6,
2025-12-22,0,0.0,0.0,,0.0,
2025-12-29,1,6.04,37.0,6.13,36.8,
2026-01-05,1,6.3,34.8,5.53,36.8,
2026-01-12,3,21.85,121.5,5.56,126.1,
2026-01-19,1,6.35,34.1,5.37,37.3,
2026-01-26,0,0.0,0.0,,0.0,
2026-02-02,0,0.0,0.0,,0.0,
2026-02-09,1,9.99,51.0,5.1,131.0,137.5
2026-02-16,1,5.27,31.0,5.88,0.0,150.5
2026-02-23,2,8.17,49.1,6.01,42.0,143.9
2026-03-02,4,23.0,130.7,5.68,344.0,150.5
2026-03-09,3,11.19,62.1,5.55,42.0,155.5
2026-03-16,3,30.34,162.5,5.36,229.0,152.2
2026-03-23,2,7.71,44.2,5.73,101.0,149.9
2026-03-30,3,20.09,115.9,5.77,133.0,147.8
2026-04-06,2,19.41,106.2,5.47,80.0,140.8
2026-04-13,3,28.58,143.0,5.0,75.0,141.3
2026-04-20,4,21.9,120.4,5.5,97.0,143.3
2026-04-27,0,0.0,0.0,,0.0,
2026-05-04,0,0.0,0.0,,0.0,
2026-05-11,4,15.08,94.8,6.28,37.0,133.1
2026-05-18,3,48.95,339.4,6.93,174.0,146.9
2026-05-25,0,0.0,0.0,,0.0,
2026-06-01,0,0.0,0.0,,0.0,
2026-06-08,1,5.02,31.4,6.25,46.0,144.0
2026-06-15,2,18.86,113.4,6.01,153.0,153.6
2026-06-22,2,19.55,107.3,5.49,159.0,158.1
2026-06-29,2,8.21,41.8,5.09,33.0,156.3
2026-07-06,3,33.39,186.6,5.59,94.0,155.1
2026-07-13,1,6.07,30.8,5.07,13.0,141.1
